,count,mean,std,min,25%,50%,75%,max
hasContent,472.0,0.7,0.5,0.0,0.0,1.0,1.0,1.0
hasHuman,472.0,0.3,0.4,0.0,0.0,0.0,1.0,1.0
hasFace,472.0,0.1,0.3,0.0,0.0,0.0,0.0,1.0
hasColor,472.0,0.8,0.4,0.0,1.0,1.0,1.0,1.0
isBright,472.0,0.9,0.3,0.0,1.0,1.0,1.0,1.0
hasManyDomColors,472.0,0.1,0.3,0.0,0.0,0.0,0.0,1.0
hasWarmHueAccent,472.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0
sentimentTitle,472.0,0.5,0.2,0.0,0.5,0.5,0.5,1.0
sentimentText,472.0,0.6,0.3,0.0,0.5,0.5,1.0,1.0
TitleMatchPicOCR,472.0,0.1,0.4,0.0,0.0,0.0,0.0,1.0
TextMatchPic,472.0,0.1,0.3,0.0,0.0,0.0,0.0,1.0
CreatorMatchTitle,472.0,0.1,0.2,0.0,0.0,0.0,0.0,1.0
NumOfObjectsInPic,472.0,11.6,9.8,0.0,1.0,12.0,20.0,36.0
lengthOfTitle,472.0,33.6,13.3,4.0,22.0,34.0,47.0,60.0
lengthOfText,472.0,112.1,27.4,8.0,99.8,125.0,131.2,135.0
H1_Emotion,472.0,0.2,0.4,0.0,0.0,0.0,0.0,1.0
H2_ClearMassage,472.0,0.2,0.4,0.0,0.0,0.0,0.0,1.0
H3_Trust,472.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0
successful,472.0,0.7,0.5,0.0,0.0,1.0,1.0,1.0
