,Category,Project counter,Successful projects,Success rate AVG[%],Goal AVG[$],Funding ratio AVG[%],Backers AVG,Duration AVG[days]
0,Dance,5,1,20.0,14836,38.53,29,34.6
1,Photography,31,13,41.94,11692,193.78,73,31.1
2,Games,49,46,93.88,27064,394.88,1381,29.2
3,Publishing,77,48,62.34,7979,116.81,115,33.2
4,Film & Video,47,34,72.34,10602,102.37,121,31.0
5,Art,47,38,80.85,25970,108.43,79,29.0
6,Comics,53,46,86.79,8937,160.57,242,31.3
7,Music,39,31,79.49,7859,111.75,112,34.4
8,Theater,12,8,66.67,9217,73.12,39,26.5
9,Crafts,10,5,50.0,2500,101.84,28,27.7
10,Fashion,12,11,91.67,4477,1056.31,622,28.3
11,Technology,9,7,77.78,10617,529.38,513,33.9
12,Food,79,32,40.51,38848,56.89,74,36.0
13,Journalism,2,0,0.0,7500,0.02,0,17.0
