,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
category,Theater,Technology,Crafts,Photography,Film & Video,Art,Journalism,Music,Design,Publishing,Comics,Fashion,Food,Dance,Games
Projekte,57,255,70,72,345,367,60,356,206,265,147,49,184,23,144
hasHuman,43.9,16.9,11.4,18.1,41.7,26.7,28.3,59.6,21.8,29.4,36.1,24.5,17.4,60.9,20.8
hasFace,28.1,7.8,7.1,9.7,26.1,14.2,11.7,41.0,7.8,16.2,15.0,18.4,10.9,13.0,7.6
hasColor,75.4,83.1,81.4,87.5,84.1,80.1,80.0,80.6,80.1,79.6,74.1,83.7,89.7,69.6,76.4
hasManyDomColors,8.8,12.5,8.6,12.5,11.3,10.9,6.7,10.7,13.1,9.1,14.3,8.2,13.0,0.0,9.7
hasWarmHueAccent,43.9,46.7,51.4,52.8,44.1,46.9,43.3,44.4,45.6,45.7,45.6,59.2,58.7,52.2,46.5
CLASS_positiveTitle,8.8,5.1,7.1,13.9,7.0,8.4,8.3,7.9,4.9,7.9,3.4,6.1,8.2,0.0,3.5
CLASS_neutralTitle,75.4,91.0,88.6,76.4,75.1,83.7,76.7,87.6,87.4,80.8,71.4,85.7,88.6,95.7,86.8
CLASS_negativeTitle,15.8,3.9,4.3,9.7,18.0,7.9,15.0,4.5,7.8,11.3,25.2,8.2,3.3,4.3,9.7
CLASS_positiveText,43.9,30.2,38.6,37.5,21.7,28.3,33.3,39.9,30.1,33.6,15.6,36.7,42.9,26.1,22.2
CLASS_neutralText,36.8,60.0,44.3,50.0,31.3,54.8,41.7,51.4,60.2,46.4,45.6,53.1,51.1,65.2,56.9
CLASS_negativeText,19.3,9.8,17.1,12.5,47.0,16.9,25.0,8.7,9.7,20.0,38.8,10.2,6.0,8.7,20.8
CLASS_manyObjects,31.6,21.6,31.4,47.2,30.1,28.6,23.3,43.3,23.8,20.0,4.8,28.6,38.0,34.8,13.2
CLASS_normalObjects,28.1,36.1,37.1,36.1,29.9,29.4,26.7,33.4,35.9,30.2,23.8,26.5,32.6,34.8,30.6
CLASS_fewObjects,35.1,30.2,17.1,11.1,30.1,30.2,41.7,17.1,30.1,37.7,53.1,34.7,27.2,13.0,36.1
CLASS_longTitle,15.8,42.0,17.1,31.9,12.5,21.8,30.0,26.7,39.3,31.7,19.0,24.5,27.2,21.7,29.9
CLASS_normalTitle,57.9,39.2,52.9,48.6,41.7,51.0,33.3,57.0,42.2,44.9,61.9,49.0,46.7,56.5,35.4
CLASS_shortTitle,26.3,18.8,30.0,19.4,45.8,27.2,36.7,16.3,18.4,23.4,19.0,26.5,26.1,21.7,34.7
CLASS_longText,31.6,29.8,17.1,30.6,29.3,24.5,28.3,29.5,19.4,34.3,25.9,16.3,31.5,26.1,27.1
CLASS_normalText,47.4,46.3,50.0,44.4,40.3,46.9,58.3,48.3,40.3,44.2,42.9,42.9,40.2,56.5,38.2
CLASS_shortText,21.1,23.9,32.9,25.0,30.4,28.6,13.3,22.2,40.3,21.5,31.3,40.8,28.3,17.4,34.7
textMatchPicOCR,21.1,24.7,7.1,15.3,21.4,13.9,20.0,11.8,35.4,26.8,15.6,16.3,18.5,17.4,32.6
creatorMatchTitle,14.0,4.7,1.4,6.9,4.1,5.2,6.7,7.6,5.8,9.4,6.8,6.1,4.9,4.3,4.9
textMatchPic,10.5,14.5,14.3,19.4,12.2,7.1,6.7,5.6,14.6,11.3,6.1,12.2,26.1,8.7,6.2
CON_numOfImg,2,10,3,6,4,3,2,2,14,3,10,10,4,2,13
CON_numOfRewards,8,8,7,7,10,8,5,9,9,8,14,9,8,7,8
CON_hasVideo,66.7,83.5,45.7,52.8,82.3,65.1,51.7,82.6,78.2,64.5,76.9,46.9,55.4,82.6,75.7
CON_text_Length,1775,2507,1180,1817,2101,1613,1856,1361,2224,2214,2643,2059,1804,1179,3594
CON_numOfFbFriends,485,165,253,372,395,318,88,731,194,443,759,190,170,283,283
CON_experience,1,1,2,2,1,1,0,1,2,1,4,1,0,1,3
CON_goal,9111,42296,3629,8176,27104,10432,25845,6842,12767,10322,9460,9360,28341,6058,29787
CON_duration,30,36,30,32,33,31,32,33,34,33,32,30,35,30,30
