,count,mean,std,min,25%,50%,75%,max
hasHuman,2600.0,0.3,0.5,0.0,0.0,0.0,1.0,1.0
hasFace,2600.0,0.2,0.4,0.0,0.0,0.0,0.0,1.0
hasColor,2600.0,0.8,0.4,0.0,1.0,1.0,1.0,1.0
isBright,2600.0,0.9,0.4,0.0,1.0,1.0,1.0,1.0
hasManyDomColors,2600.0,0.1,0.3,0.0,0.0,0.0,0.0,1.0
hasWarmHueAccent,2600.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0
NumOfObjectsInPic,2600.0,11.6,9.9,0.0,1.0,11.0,20.0,41.0
CLASS_positiveTitle,2600.0,0.1,0.3,0.0,0.0,0.0,0.0,1.0
CLASS_neutralTitle,2600.0,0.8,0.4,0.0,1.0,1.0,1.0,1.0
CLASS_negativeTitle,2600.0,0.1,0.3,0.0,0.0,0.0,0.0,1.0
CLASS_positiveText,2600.0,0.3,0.5,0.0,0.0,0.0,1.0,1.0
CLASS_neutralText,2600.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0
CLASS_negativeText,2600.0,0.2,0.4,0.0,0.0,0.0,0.0,1.0
lengthOfTitle,2600.0,33.5,13.7,3.0,22.0,34.0,47.0,61.0
lengthOfText,2600.0,110.1,27.7,8.0,97.0,122.0,131.0,149.0
TitleMatchPicOCR,2600.0,0.2,0.4,0.0,0.0,0.0,0.0,1.0
CreatorMatchTitle,2600.0,0.1,0.2,0.0,0.0,0.0,0.0,1.0
TextMatchPic,2600.0,0.1,0.3,0.0,0.0,0.0,0.0,1.0
CON_numOfImg,2600.0,5.7,10.8,0.0,1.0,1.0,5.0,89.0
CON_numOfRewards,2600.0,8.6,6.7,0.0,4.0,7.0,11.0,78.0
CON_hasVideo,2600.0,0.7,0.5,0.0,0.0,1.0,1.0,1.0
CON_text_Length,2600.0,2029.8,2999.9,0.0,0.0,856.5,2985.0,34422.0
CON_numOfFbFriends,2600.0,380.6,955.6,0.0,0.0,0.0,142.0,12803.0
CON_experience,2600.0,1.3,3.7,0.0,0.0,0.0,2.0,56.0
CON_goal,2600.0,17758.2,54918.4,100.0,1800.0,5000.0,13850.0,1000000.0
CON_duration,2600.0,32.7,11.4,3.0,29.0,30.0,35.0,60.0
successful,2600.0,0.6,0.5,0.0,0.0,1.0,1.0,1.0
