,r2,significance,is_Significant,coefficient
hasHuman,0.0006025520707252148,0.21084703999601906,False,-
hasFace,5.600134671236055e-05,0.7029048910811643,False,-
hasColor,5.7447574800579036e-05,0.6992776876693532,False,+
isBright,0.0008451005480343903,0.13836248588000374,False,-
hasManyDomColors,0.0024010400811432533,0.012460055931149006,True,+
hasWarmHueAccent,0.0012035072295647267,0.0769584391009915,False,+
TextMatchPic,0.00024262965480782538,0.4272427225608647,False,-
CreatorMatchTitle,0.00022496630841157463,0.44458667890616654,False,-
TitleMatchPicOCR,0.0007524891083840387,0.16201404635999556,False,+
CLASS_manyObjects,0.00010101884042969964,0.6084694725539486,False,-
CLASS_normalObjects,0.003200506418832087,0.003906768223269255,True,+
CLASS_fewObjects,0.0025900909266863403,0.009446033054063772,True,-
NumOfObjectsInPic,0.00044312201696972923,0.2832845887609404,False,+
CLASS_positiveTitle,0.00039453991179918803,0.3113312823615315,False,-
CLASS_neutralTitle,0.0006251204265316587,0.20249907903112482,False,+
CLASS_negativeTitle,0.00020784687464756873,0.46245826369509013,False,-
CLASS_longTitle,0.004571876869640822,0.0005605321330549024,True,+
CLASS_normalTitle,0.0006693562214501515,0.187235788400177,False,-
CLASS_shortTitle,0.0014854023684017683,0.049414937158667696,True,-
lengthOfTitle,0.004714483945684381,0.00045910829647126275,True,+
CLASS_longText,5.436105130903219e-07,0.9700249697683168,False,-
CLASS_normalText,0.000226980303632545,0.44255516138423645,False,+
CLASS_shortText,0.0002551212572100202,0.41558653426388936,False,-
lengthOfText,0.0007352542419260141,0.16690490824176984,False,+
CLASS_positiveText,0.0007056849841795905,0.17569539953160365,False,-
CLASS_neutralText,0.0015875741484078004,0.04220408480657029,True,+
CLASS_negativeText,0.00037251370108739445,0.325233307897,False,-
H1_Emotion,0.0005762449265888768,0.22109842419852135,False,+
H2_ClearMassage,3.637483150410047e-06,0.9225653628188724,False,+
H3_Trust,9.940310295544506e-05,0.6113509289150919,False,-
CON_numOfImg,0.09212605366576387,1.534440991521669e-56,True,+
CON_numOfRewards,0.022483991123234074,1.522576562755965e-14,True,+
CON_hasVideo,0.004963334365825969,0.0003243330335420701,True,+
CON_text_Length,0.01097095994070522,8.651062086133528e-08,True,+
CON_numOfFbFriends,0.00020328235092848356,0.467415358626175,False,-
CON_experience,0.0035156182684008665,0.002490024721914066,True,+
CON_goal,0.02767902729390421,1.356942319145503e-17,True,+
CON_duration,0.000889104064514056,0.128504761853042,False,+
