,r2,significance,is_Significant,coefficient
hasHuman,0.004640014127547966,0.000509523041447655,True,+
hasFace,0.0015068201958200991,0.047802456296561276,True,+
hasColor,0.0005299266227036289,0.24063855832494732,False,-
isBright,0.002663438021406289,0.008487976776683925,True,-
hasManyDomColors,6.328164141474062e-05,0.6851562214357182,False,+
hasWarmHueAccent,0.0008165053536836415,0.1452215671207275,False,+
TextMatchPic,0.00012730379381505993,0.5652515086280077,False,-
CreatorMatchTitle,0.004756747614775249,0.0004327658126661344,True,+
TitleMatchPicOCR,0.006229954255219246,5.601210643562823e-05,True,+
CLASS_manyObjects,1.4792821103868565e-05,0.8445929200509897,False,+
CLASS_normalObjects,0.00016642370859351496,0.5108519837197643,False,+
CLASS_fewObjects,0.002653858942325552,0.008607230273803241,True,-
NumOfObjectsInPic,2.7151934965736595e-05,0.7905693992981802,False,-
CLASS_positiveTitle,0.0032343367642056722,0.0037217753895734647,True,-
CLASS_neutralTitle,0.0013434899005218216,0.06166375329890318,False,+
CLASS_negativeTitle,6.939453918230189e-06,0.8931983166621209,False,+
CLASS_longTitle,0.006258849883184629,5.382329114121469e-05,True,+
CLASS_normalTitle,0.002463858886868303,0.011362196231016815,True,+
CLASS_shortTitle,0.018462407962890205,3.468001803121139e-12,True,-
lengthOfTitle,0.017898998429826122,7.417924939990051e-12,True,+
CLASS_longText,0.0014716482052205926,0.050480637472951125,False,-
CLASS_normalText,5.642542377860272e-05,0.7018357760351637,False,+
CLASS_shortText,0.0008999007782143635,0.1262074081609271,False,+
lengthOfText,0.0016108989743552373,0.04071868498374713,True,-
CLASS_positiveText,0.0029526858738329227,0.005580686322116891,True,-
CLASS_neutralText,0.0019886730826327976,0.02297067042200238,True,+
CLASS_negativeText,5.1346162720970486e-05,0.7149579852362551,False,+
H1_Emotion,0.00025159828140448377,0.4188253946628626,False,-
H2_ClearMassage,8.999793809710554e-05,0.6287349466269319,False,+
H3_Trust,0.001780784282540196,0.03142285849293261,True,+
CON_numOfImg,0.03722757079780834,3.177925222978572e-23,True,+
CON_numOfRewards,0.08480834125044971,5.404211235883797e-52,True,+
CON_hasVideo,0.07893227139862771,2.2843788730716856e-48,True,+
CON_text_Length,0.020204330369327405,3.3047429303641623e-13,True,+
CON_numOfFbFriends,0.06365472161945314,4.8488237418156313e-39,True,+
CON_experience,0.0794549940599611,1.089163393475065e-48,True,+
CON_goal,0.026951390025323128,3.632591833713552e-17,True,-
CON_duration,0.023410278918502957,4.35760698722851e-15,True,-
