,category,hasHuman,hasFace,hasColor,isBright,hasManyDomColors,hasWarmHueAccent,NumOfObjectsInPic,CLASS_positiveTitle,CLASS_neutralTitle,CLASS_negativeTitle,CLASS_positiveText,CLASS_neutralText,CLASS_negativeText,lengthOfTitle,lengthOfText,TitleMatchPicOCR,CreatorMatchTitle,TextMatchPic,CON_numOfImg,CON_numOfRewards,CON_hasVideo,CON_text_Length,CON_numOfFbFriends,CON_experience,CON_goal,CON_duration,successful
0,Food,0,0,1,1,0,1,0,1,0,0,1,0,0,50,115,0,0,0,5,9,1,351,0,0,75000,60,0
1,Journalism,0,0,0,1,0,0,1,0,1,0,0,0,1,50,114,0,0,0,11,10,1,17940,0,0,30500,40,0
2,Music,1,0,1,1,0,1,12,1,0,0,1,0,0,25,119,0,0,0,1,22,1,2431,265,0,20000,32,0
3,Film & Video,0,0,1,1,0,1,2,0,1,0,0,1,0,11,134,0,0,0,34,22,1,5480,0,0,100000,25,0
4,Journalism,1,0,1,1,0,1,26,0,1,0,0,1,0,43,114,0,0,1,1,1,1,3186,0,0,9000,34,0
5,Fashion,1,1,1,1,0,0,20,0,1,0,0,1,0,26,132,0,0,0,1,2,1,805,0,0,10000,30,0
6,Film & Video,1,1,1,1,1,0,21,0,0,1,0,1,0,33,129,0,0,0,1,2,1,927,0,0,6000,30,0
7,Technology,0,0,1,1,0,0,0,0,1,0,1,0,0,10,121,0,0,0,1,3,1,4014,0,0,1000,20,0
8,Photography,0,0,1,0,0,0,21,0,1,0,1,0,0,15,132,0,0,0,1,7,1,1341,0,0,2000,30,0
9,Publishing,0,0,1,1,0,0,2,0,1,0,0,0,1,47,134,1,0,0,1,1,0,1905,0,0,2500,56,0
10,Publishing,1,1,1,1,0,1,19,0,1,0,1,0,0,15,122,0,0,0,22,18,1,14721,276,2,4750,30,1
11,Photography,0,0,1,1,0,1,2,0,1,0,0,1,0,20,135,0,0,0,1,2,0,8614,0,0,1200,14,0
