,category,duration,success,goal,pledged,backers,%pledged
0,Food,60,failed,75000,266.0,6,0.35
1,Journalism,40,failed,30500,1898.0,21,6.22
2,Music,32,failed,20000,2741.0,28,13.71
3,Film & Video,25,failed,100000,25877.0,118,25.88
4,Journalism,34,failed,9000,0.0,0,0.0
5,Fashion,30,failed,10000,0.0,0,0.0
6,Film & Video,30,failed,6000,260.0,2,4.33
7,Technology,20,failed,1000,165.0,3,16.5
8,Photography,30,failed,2000,255.0,8,12.75
9,Publishing,56,failed,2500,0.0,0,0.0
10,Publishing,30,successful,4750,5022.0,140,105.73
11,Photography,14,failed,1200,185.0,3,15.42
12,Technology,45,failed,300000,0.0,0,0.0
13,Games,7,successful,6000,22546.5,1269,375.78
14,Design,30,successful,5000,25913.0,184,518.26
15,Journalism,31,successful,1056,1056.0,19,100.0
16,Film & Video,30,failed,10000,35.0,2,0.35
17,Music,30,failed,10000,5975.0,89,59.75
18,Food,40,successful,7500,7671.0,35,102.28
19,Comics,32,successful,1000,1046.0,28,104.6
20,Theater,27,successful,1500,2925.0,17,195.0
21,Film & Video,30,failed,20000,261.0,8,1.31
22,Music,14,successful,5000,12793.0,207,255.86
23,Art,30,successful,1800,1857.0,39,103.17
24,Art,36,failed,4300,570.0,14,13.26
25,Food,31,failed,10000,26.0,2,0.26
26,Photography,14,failed,985,26.0,2,2.64
27,Film & Video,50,successful,6500,6554.0,50,100.83
28,Games,35,successful,7000,31968.0,500,456.69
29,Journalism,60,failed,15000,0.0,0,0.0
30,Art,14,successful,500,500.0,9,100.0
31,Photography,5,successful,149,663.0,13,444.97
32,Technology,45,failed,500,4.0,1,0.8
33,Film & Video,59,failed,30000,2421.0,15,8.07
34,Art,28,successful,2500,2970.0,68,118.8
35,Music,30,successful,9000,9369.88,224,104.11
36,Publishing,30,failed,1500,555.0,16,37.0
37,Technology,44,failed,300000,0.0,0,0.0
38,Art,28,successful,14000,16487.0,100,117.76
39,Design,33,successful,3000,9769.0,159,325.63
40,Dance,30,failed,2500,1.0,1,0.04
41,Film & Video,60,failed,500,76.0,5,15.2
42,Music,25,successful,3500,3550.0,22,101.43
43,Technology,30,successful,200,200.0,13,100.0
44,Comics,30,failed,13000,839.0,31,6.45
45,Publishing,30,successful,500,1126.0,43,225.2
46,Art,29,successful,10000,10014.0,66,100.14
47,Music,14,successful,2000,2040.0,21,102.0
48,Art,46,successful,1000,1501.0,25,150.1
49,Photography,30,failed,900,50.0,1,5.56
50,Art,32,failed,10001,418.0,15,4.18
51,Comics,29,successful,500,1761.0,59,352.2
52,Music,28,successful,5000,5003.0,65,100.06
53,Technology,30,successful,950,1015.0,15,106.84
54,Design,30,successful,75000,182166.0,187,242.89
55,Dance,15,failed,6000,100.0,4,1.67
56,Art,15,successful,5000,7900.0,51,158.0
57,Film & Video,30,successful,1000,2298.0,19,229.8
58,Art,30,successful,4000,4005.0,13,100.12
59,Art,14,successful,400,407.5,32,101.88
60,Publishing,60,successful,500,1979.0,34,395.8
