,Category,Project counter,Successful projects,Success rate AVG[%],Goal AVG[$],Funding ratio AVG[%],Backers AVG,Duration AVG[days]
0,Crafts,10,5,50.0,2500,101.84,28,27.7
1,Music,11,8,72.73,7749,111.32,91,38.2
2,Comics,47,40,85.11,9188,157.11,246,31.0
3,Publishing,58,36,62.07,5914,101.26,79,33.5
4,Art,43,34,79.07,26459,97.97,71,28.3
5,Photography,31,13,41.94,11692,193.78,73,31.1
6,Games,45,45,100.0,28720,427.35,1504,27.8
7,Technology,1,1,100.0,12000,103.7,75,30.0
8,Food,51,23,45.1,47932,59.44,88,36.3
9,Film & Video,46,34,73.91,10398,103.17,120,31.0
10,Dance,3,1,33.33,6893,47.57,33,30.0
