,category,hasContent,hasHuman,hasFace,hasColor,isBright,hasManyDomColors,hasWarmHueAccent,sentimentTitle,sentimentText,TitleMatchPicOCR,TextMatchPic,CreatorMatchTitle,NumOfObjectsInPic,lengthOfTitle,lengthOfText,successful
0,Food,1,0,0,1,1,0,1,1.0,1,0,0,0,1,50,115,0
1,Film & Video,1,1,1,1,1,1,0,0.0,0.5,0,0,0,20,33,129,0
2,Photography,0,0,0,1,1,0,1,0.5,0.5,0,0,0,1,20,135,0
3,Film & Video,0,0,0,1,1,0,0,0.0,0.5,0,0,0,1,27,135,0
4,Film & Video,1,1,0,1,1,0,1,0.5,0.5,0,0,1,17,19,131,0
5,Photography,1,0,0,1,0,0,0,1.0,1,0,0,0,6,15,134,0
6,Photography,1,1,1,1,0,0,0,1.0,1,0,0,0,27,28,133,1
7,Publishing,1,0,0,1,1,0,1,0.5,1,0,0,1,3,40,133,0
8,Film & Video,0,0,0,1,1,0,1,0.0,0,0,0,0,17,42,135,0
9,Art,0,0,0,1,1,1,0,0.5,0.5,0,0,0,1,22,132,1
10,Comics,1,1,0,1,1,0,1,0.5,1,0,0,0,1,23,134,1
11,Art,1,0,0,1,1,0,1,0.5,0.5,0,0,0,29,38,132,1
12,Comics,1,1,0,1,1,0,1,0.5,0.5,0,0,0,19,30,132,0
13,Comics,0,1,0,1,0,1,1,0.5,0.5,0,0,0,16,50,81,1
14,Film & Video,1,1,1,1,1,1,1,0.5,0,0,0,0,20,44,124,1
15,Food,1,1,0,1,0,1,1,0.5,1,0,1,0,22,50,74,0
16,Comics,1,1,0,1,1,0,1,0.5,0,0,0,0,27,16,125,1
17,Comics,0,0,0,1,1,0,0,0.5,0,0,0,0,2,50,133,1
18,Music,1,1,0,1,1,0,1,0.5,0.5,0,0,0,20,47,128,1
19,Food,1,1,0,1,1,0,1,0.5,1,0,0,0,15,16,130,1
20,Comics,1,1,0,1,1,0,1,0.0,0.5,0,0,0,1,13,81,1
21,Publishing,0,0,0,1,1,0,1,0.5,1,0,0,0,14,20,132,1
22,Publishing,1,1,0,1,1,0,1,1.0,1,0,0,0,14,47,132,0
23,Games,1,1,0,1,1,0,1,0.5,0.5,0,0,0,20,20,102,1
24,Film & Video,1,0,0,1,1,0,0,0.0,0,0,0,0,7,22,130,1
25,Comics,1,0,0,0,1,0,0,0.5,1,0,0,0,2,46,131,1
26,Publishing,1,0,0,1,1,0,1,0.5,0.5,0,0,0,8,50,129,0
27,Food,1,1,0,1,1,0,0,0.5,0.5,0,0,0,28,41,110,1
28,Art,1,0,0,1,1,0,0,0.5,0.5,0,0,0,11,19,129,1
29,Comics,0,0,0,0,1,0,0,0.5,0,0,0,0,0,38,135,1
30,Art,1,1,0,1,1,0,0,0.5,1,0,1,0,21,29,135,1
31,Comics,0,1,0,0,1,0,0,0.5,0,0,0,0,1,37,126,0
32,Film & Video,1,1,0,1,1,1,0,0.5,1,0,0,0,16,26,118,1
33,Photography,1,0,0,1,1,0,1,0.5,0.5,0,0,0,21,29,89,1
34,Film & Video,1,1,1,1,1,0,1,0.5,0.5,0,0,0,22,50,122,0
35,Film & Video,1,1,0,1,1,1,1,0.5,0.5,0,0,0,15,14,127,1
36,Food,1,0,0,1,1,0,1,0.5,1,0,1,0,20,37,97,1
37,Art,0,0,0,1,1,0,0,0.5,0.5,0,0,0,17,50,120,1
38,Food,1,0,0,1,1,0,1,0.5,1,0,0,0,12,50,129,0
39,Games,1,0,0,1,1,0,1,0.5,0.5,0,0,0,3,39,48,1
40,Food,1,0,0,0,1,0,0,0.5,0.5,0,0,0,1,31,127,0
41,Comics,1,1,0,1,1,0,1,0.0,0,0,0,0,4,47,134,1
42,Publishing,1,0,0,1,1,0,0,0.5,0,0,0,0,11,24,134,1
43,Games,1,0,0,1,1,1,1,0.5,0,0,0,0,0,17,71,1
44,Film & Video,1,1,0,1,1,0,1,0.5,0.5,0,0,0,6,7,130,0
45,Food,1,1,1,1,1,0,1,0.5,1,0,0,0,27,13,109,0
46,Food,1,1,1,1,1,1,1,0.5,0.5,0,0,0,20,44,108,1
47,Comics,0,0,0,0,1,0,0,0.5,0.5,0,0,0,0,50,122,1
48,Comics,0,0,0,0,1,0,0,0.5,1,0,0,1,0,21,132,1
49,Dance,1,0,0,1,1,0,1,0.5,1,0,0,0,8,19,134,1
50,Film & Video,1,0,0,1,1,0,0,0.5,1,0,0,0,0,30,134,1
51,Photography,1,1,0,0,1,0,0,0.5,0.5,0,1,0,25,49,135,0
52,Film & Video,1,0,0,1,1,0,0,0.5,1,0,0,0,2,48,134,1
53,Film & Video,0,0,0,1,1,0,0,0.5,0,0,0,1,7,21,131,1
54,Food,1,0,0,1,1,0,1,0.5,0,0,1,0,24,17,127,0
55,Publishing,0,0,0,1,1,0,0,0.5,0.5,0,0,0,2,16,135,1
